nome_bairro,desc_atividade,nome_grupo,n
VARZEA,COMÉRCIO ATACADISTA DE MÓVEIS E ARTIGOS DE COLCHOARIA,COMERCIO ATACADISTA,1
VARZEA,COMÉRCIO ATACADISTA DE OUTROS EQUIP E ART DE USO PESSOAL E DOMÉST NÃO ESP ANTER,COMERCIO ATACADISTA,1
VARZEA,COMÉRCIO ATACADISTA DE OUTROS PRODUTOS QUÍMICOS E PETROQUÍMICOS N/ ESP ANTERIOR,COMERCIO ATACADISTA,1
VARZEA,COMÉRCIO ATACADISTA DE PRODUTOS ALIMENTÍCIOS EM GERAL,COMERCIO ATACADISTA,1
VARZEA,COMÉRCIO ATACADISTA DE RESÍDUOS E SUCATAS METÁLICOS,OUTRAS ATIVIDADES VAREJISTAS,1
VARZEA,COMÉRCIO ATACADISTA DE ROUPAS E ACESSÓRIOS P/ USO PROF E DE SEGUR DO TRABALHO,COMERCIO ATACADISTA,1
VARZEA,COMÉRCIO ATACADISTA ESPECIALIZADO DE MATERIAIS DE CONSTR N/ ESP ANTERIORMENTE,COMERCIO ATACADISTA,1
VARZEA,COMÉRCIO VAREJISTA DE ANIMAIS VIVOS E DE ARTIGOS E ALIMENTOS PARA ANIMAIS DE ESTIMAÇÃO,OUTRAS ATIVIDADES VAREJISTAS,1
VARZEA,COMÉRCIO VAREJISTA DE ARTIGOS DE VIAGEM,OUTRAS ATIVIDADES VAREJISTAS,1
VARZEA,COMÉRCIO VAREJISTA DE ARTIGOS ESPORTIVOS,OUTRAS ATIVIDADES VAREJISTAS,1
VARZEA,COMÉRCIO VAREJISTA DE BICICLETAS E TRICICLOS/ PEÇAS E ACESSÓRIOS,OUTRAS ATIVIDADES VAREJISTAS,1
VARZEA,COMÉRCIO VAREJISTA DE BRINQUEDOS E ARTIGOS RECREATIVOS,OUTRAS ATIVIDADES VAREJISTAS,1
VARZEA,COMÉRCIO VAREJISTA DE CARNES - AÇOUGUES,OUTRAS ATIVIDADES VAREJISTAS,1
